rank,name,uniprot,species,score,simiscore
1,Adenosine A3 Receptor,A2A3P4,Homo sapiens,0.456,1.6
2,Estrogen receptor 1,Q6MZQ9,Homo sapiens,0.228,1.564
3,Thrombin,Q7Z7P3,Homo sapiens,0.064,1.548
4,Thymidylate synthase (TS),P04818,Homo sapiens,0.023,1.537
5,Cruzipain,P25779,Trypanosoma cruzi,0.471,1.532
6,Dual specificity phosphatase Cdc25C,Q9H2F1,Homo sapiens,0.066,1.525
7,Fatty Acid Amide Hydrolase,Q5BKA3,Rattus norvegicus,0.366,1.525
8,"complement component 1, s subcomponent",Q9UCV5,Homo sapiens,0.086,1.511
9,"Glycogen Synthase Kinase-3, beta",D3DN89,Homo sapiens,0.294,1.51
10,neutrophil cytosolic factor 1,A8K7S9,Homo sapiens,0.082,1.509
11,Mcl-1,n/a,Homo sapiens,0.104,1.509
12,Cathepsin G,Q6IBJ6,Homo sapiens,0.131,1.5
13,PI3-kinase p110-alpha subunit,P42337,Mus musculus,0.022,1.495
14,Adenosine Receptor A2A,P29274,Homo sapiens,0.527,1.495
15,Adenosine A2b receptor/Receptor A2A,P29276,Rattus norvegicus,0.688,1.481
16,"karyopherin alpha 2 (RAG cohort 1, importin alpha 1), isoform CRA_b",Q9BRU5,Homo sapiens,0.082,1.475
17,GABA receptor alpha-1/alpha-2/alpha-3/alpha-4/alpha-5/alpha-6/beta-1/beta-2/beta-3/delta/epsilon/gamma-1/gamma-2/gamma-3/pi/theta subunit,n/a,Homo sapiens,0.191,1.471
18,corticotropin releasing factor-binding protein,n/a,Homo sapiens,0.242,1.47
19,Nuclear receptor ROR-alpha (Retinoid-related orphan receptor-alpha) (Nuclear receptor RZR-alpha).,P35398,Homo sapiens,0.238,1.469
20,Metabotropic glutamate receptor 4,Q5SZ84,Homo sapiens,0.063,1.465
21,MEK-1,Q02750,Homo sapiens,0.022,1.463
22,Adenosine Receptor A1,A6NGP4,Homo sapiens,0.24,1.463
23,PDGFR-beta,P09619,Homo sapiens,0.143,1.462
24,Immunophilin FKBP12,Q6LEU3,Homo sapiens,0.121,1.46
25,Fatty Acid Amide Hydrolase,Q5TDF8,Homo sapiens,0.242,1.457
26,tissue-nonspecific alkaline phosphatase precursor,Q5BKZ5,Homo sapiens,0.397,1.454
27,Adenosine A1 receptor,A5PJR1,Bos taurus,0.94,1.452
28,Monoamine oxidase B,B2R6R3,Homo sapiens,0.258,1.437
29,11-beta-Hydroxysteroid Dehydrogenase 1 (11-beta-HSD1),P28845,Homo sapiens,0.082,1.436
30,"ATP-binding cassette, sub-family C, member 1 isoform 1",n/a,Homo sapiens,0.141,1.429
31,Cannabinoid Receptor 2,P34972,Homo sapiens,0.042,1.428
32,kallikrein-related peptidase 5 preproprotein,n/a,Homo sapiens,0.22,1.427
33,tissue non-specific alkaline phosphatase precursor,Q5BKZ5,Homo sapiens,0.083,1.427
34,Epoxide hydratase,B2Z3B1,Homo sapiens,0.021,1.424
35,ADORA1,P25099,RAT,0.263,1.422
36,v-rel reticuloendotheliosis viral oncogene homolog A isoform 1,Q6GTV1,Homo sapiens,0.26,1.418
37,Adenosine A2a receptor,P46616,Cavia porcellus,0.061,1.417
38,Adenosine A1 receptor,P25099,Rattus norvegicus,1.0,1.416
39,Adenosine Receptor A2A/A2B,B2R7E0,Homo sapiens,0.12,1.415
40,"endothelial differentiation, sphingolipid G-protein-coupled receptor, 3",Q7Z5I2,Homo sapiens,0.041,1.415
41,Protein Tyrosine Phosphatase PTPA,Q10507,Mycobacterium tuberculosis,0.021,1.414
42,Mitogen-Activated Protein Kinase 1,P28482,Homo sapiens,0.021,1.413
43,Butyrylcholinesterase (BChE),n/a,Equus caballus (Horse),0.021,1.409
44,3-oxoacyl-[acyl-carrier-protein] synthase III,P0A575,Mycobacterium tuberculosis,0.021,1.408
45,nuclear receptor coactivator 1 isoform 1,O43793,Homo sapiens,0.04,1.408
46,Mitogen-activated protein kinase 10 (Stress-activated protein kinase JNK3) (c-Jun N-terminal kinase 3) (MAP kinase p49 3F12).,A6NG28,Homo sapiens,0.081,1.407
47,Cyclin B/Cyclin-Dependent Kinase 1 (CDK1)/G2/mitotic-specific cyclin B2/G2/mitotic-specific cyclin B3,A8K7C4,Homo sapiens,0.08,1.405
48,cathepsin L preproprotein,Q6IAV1,Homo sapiens,0.021,1.402
49,"endothelial differentiation, sphingolipid G-protein-coupled receptor, 1",Q9NYN8,Homo sapiens,0.121,1.399
50,Coagulation factor XII precursor (Hageman factor) (HAF),P00748,Homo sapiens,0.061,1.398
51,"eukaryotic translation initiation factor 4 gamma, 1 isoform 4",O43177,Homo sapiens,0.1,1.398
52,Voltage-gated potassium channel subunit Kv7.1,n/a,Cavia porcellus,0.021,1.395
53,Eukaryotic translation initiation factor 4H,n/a,Homo sapiens,0.021,1.394
54,Acetylcholinesterase (AChE),O42275,Electrophorus electricus,0.0,1.391
55,Metabotropic glutamate receptor 5,P31424,Homo sapiens,0.629,1.391
56,Cholinesterase,P81908,Equus caballus,0.04,1.391
57,"cell division cycle 42 (GTP binding protein, 25kDa)",Q8CFN2,Homo sapiens,0.021,1.387
58,Melanin-Concentrating Hormone Receptor 1,Q9BV08,Homo sapiens,0.197,1.386
59,placental-like alkaline phosphatase preproprotein,Q16727,Homo sapiens,0.119,1.386
60,diphosphomevalonate decarboxylase,n/a,Streptococcus pneumoniae D39,0.1,1.385
61,Dual specificity phosphatase Cdc25A,Q96IL3,Homo sapiens,0.099,1.385
62,caspase-3 preproprotein,Q96KP2,Homo sapiens,0.079,1.384
63,electroneutral potassium-chloride cotransporter KCC2,n/a,Homo sapiens,0.099,1.382
64,RAD51,Q06609,Homo sapiens,0.061,1.381
65,Ubiquitin carboxyl-terminal hydrolase BAP1 (BRCA1-associated protein 1) (Cerebral protein 6).,Q6LEM0,Homo sapiens,0.021,1.381
66,Factor XIa (fXIa),n/a,Homo sapiens,0.08,1.381
67,Runt-Related Transcription Factor 1 Isoform AML1C,Q13757,Homo sapiens,0.04,1.381
68,phospholipase D2 isoform PLD2A,Q6PGR0,Homo sapiens,0.06,1.38
69,polyadenylate-binding protein 1,Q15097,Homo sapiens,0.021,1.38
70,Glutamate [NMDA] receptor subunit 3A/3B/epsilon 1/epsilon 2/epsilon 3/epsilon 4/zeta 1,O09098,Rattus norvegicus,0.04,1.38
71,Adenosine Receptor A2A,B2R7E0,Homo sapiens,0.04,1.379
72,G protein-coupled receptor 55,Q8N580,Homo sapiens,0.021,1.377
73,Sphingosine 1-Phosphate Receptor 4,D6W612,Homo sapiens,0.04,1.377
74,Acyl-CoA desaturase 1,Q922I6,Mus musculus,0.021,1.376
75,Adenosine Receptor A2A,P30543,Rattus norvegicus,0.255,1.375
76,polo-like kinase,Q15153,Homo sapiens,0.02,1.372
77,A2A-T4L-deltaC,P29274,Homo sapiens,0.06,1.371
78,nucleotide-binding oligomerization domain containing 2,Q9HC29,Homo sapiens,0.079,1.371
79,STAT3,n/a,Homo sapiens,0.04,1.371
80,"Rho-associated, coiled-coil containing protein kinase 2",n/a,Homo sapiens,0.02,1.371
81,"transient receptor potential cation channel, subfamily N, member 1",n/a,Danio rerio,0.02,1.371
82,BZLF2,Q1HVG2,Human herpesvirus 4 type 2,0.02,1.367
83,LANA,n/a,Human herpesvirus 8,0.079,1.367
84,Fatty Acid Amide Hydrolase,P97612,Rattus norvegicus (rat),0.277,1.366
85,G protein-coupled receptor 35,Q17R58,Homo sapiens,0.02,1.364
86,Sigma opioid receptor,O00725,Homo sapiens,0.098,1.362
