,Id,Fit,Norm Fit,Name,Keywords,Class,UNIPROT,Trypanosomatida
0,2JQD,2.497,0.8322,Acidic leucine-rich nuclear phosphoprotein 32 family member A,"GENE REGULATION, PROTEIN BINDING",OTHER,O35381,False
1,4Q79,2.489,0.8295,NONE,MEMBRANE PROTEIN,TRANSLOCASES,NONE,False
2,3EPY,2.472,0.824,Acyl-CoA-binding domain-containing protein 7,LIPID BINDING PROTEIN,OTHER,Q8N6N7,False
3,1GGZ,2.47,0.8232,Calmodulin-like protein 3,METAL BINDING PROTEIN,OTHER,P27482,False
4,1Z0D,2.461,0.8202,Ras-related protein Rab-5C,PROTEIN TRANSPORT,TRANSLOCASES,P35278,False
5,1GK5,2.46,0.8201,Pro-epidermal growth factor,GROWTH FACTOR,OTHER,P01132,False
6,1VIM,2.45,0.8165,Hypothetical protein AF_1796,"Structural genomics, unknown function",OTHER,O28478,False
7,1BDG,2.447,0.8158,Hexokinase,HEXOKINASE,TRANSFERASES,Q26609,False
8,1NLM,2.447,0.8158,UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase,TRANSFERASE,TRANSFERASES,P17443,False
9,1CQA,2.443,0.8142,Profilin,CONTRACTILE PROTEIN,OTHER,P25816,False
10,1H3B,2.442,0.8139,Squalene--hopene cyclase,ISOMERASE,ISOMERASES,P33247,False
11,3DZ7,2.442,0.8139,S-adenosylmethionine decarboxylase proenzyme,LIGASE,LIGASES,P17707,False
12,1M3S,2.441,0.8136,3-hexulose-6-phosphate isomerase,"STRUCTURAL GENOMICS, UNKNOWN FUNCTION",OTHER,P42404,False
13,3DUZ,2.44,0.8133,Major envelope glycoprotein,VIRAL PROTEIN,OTHER,P17501,False
14,1VLI,2.434,0.8113,Spore coat polysaccharide biosynthesis protein spsE,BIOSYNTHETIC PROTEIN,LIGASES,P39625,False
15,1O9Y,2.433,0.8111,Type III secretion protein hrcQb,STRUCTURAL PROTEIN,OTHER,O85094,False
16,1QWG,2.425,0.8083,Phosphosulfolactate synthase,LYASE,LYASES,Q57703,False
17,2NPU,2.417,0.8056,FKBP12-rapamycin complex-associated protein,TRANSFERASE,TRANSFERASES,FRAP_HUMAN,False
18,2D6F,2.414,0.8045,Glutamyl-tRNA(Gln) amidotransferase subunit D,ligase/RNA,LIGASES,O26802,False
19,1V5V,2.407,0.8022,Probable aminomethyltransferase,TRANSFERASE,TRANSFERASES,O58888,False
20,1F3B,2.403,0.801,Glutathione S-transferase A1,TRANSFERASE,TRANSFERASES,P13745,False
21,1S68,2.395,0.7982,RNA ligase 2,LIGASE,LIGASES,P32277,False
22,1U2W,2.392,0.7975,Cadmium efflux system accessory protein,DNA BINDING PROTEIN,OTHER,P20047,False
23,2P67,2.392,0.7974,LAO/AO transport system kinase,TRANSFERASE,TRANSFERASES,P27254,False
24,1GT5,2.388,0.7961,Odorant-binding protein,LIPOCALIN,OTHER,P07435,False
25,2VRW,2.375,0.7915,Ras-related C3 botulinum toxin substrate 1,SIGNALING PROTEIN,OTHER,RAC1_HUMAN,False
26,2DGR,2.371,0.7902,RNA-binding protein MEX3D,RNA BINDING PROTEIN,TRANSLOCASES,Q86XN8,False
27,2ZM5,2.366,0.7887,tRNA Delta(2)-isopentenylpyrophosphate transferase,TRANSFERASE/RNA,TRANSFERASES,P16384,False
28,1GHH,2.366,0.7887,DNA-damage-inducible protein I,PROTEIN BINDING,OTHER,P0ABR1,False
29,2V3C,2.366,0.7887,Signal recognition particle 19 kDa protein,SIGNALING PROTEIN,OTHER,Q58440,False
30,1IJE,2.364,0.7879,Elongation factor 1-alpha,TRANSLATION,TRANSLOCASES,P02994,False
31,2HDP,2.364,0.7879,E3 ubiquitin-protein ligase Mdm2,LIGASE,LIGASES,MDM2_HUMAN,False
32,1WH9,2.357,0.7856,40S ribosomal protein S3,RIBOSOME,OTHER,P23396,False
33,2PJW,2.353,0.7842,Class E vacuolar protein-sorting machinery protein HSE1,ENDOCYTOSIS/EXOCYTOSIS,OTHER,P38753,False
34,1TU1,2.332,0.7773,Hypothetical protein,"STRUCTURAL GENOMICS, UNKNOWN FUNCTION",OTHER,Q9I738,False
35,1XK4,2.331,0.7772,Protein S100-A8,METAL BINDING PROTEIN,OTHER,S10A8_HUMAN,False
36,2I1Y,2.304,0.768,Receptor-type tyrosine-protein phosphatase-like N,HYDROLASE,HYDROLASES,Q16849,False
37,2PIH,2.298,0.7661,Uncharacterized protein ymcA,"STRUCTURAL GENOMICS, UNKNOWN FUNCTION",OTHER,O31779,False
38,2IRP,2.295,0.7649,Methylthioribulose-1-phosphate dehydratase,LYASE,LYASES,O67788,False
39,3HZQ,2.26,0.7534,Large-conductance mechanosensitive channel,MEMBRANE PROTEIN,TRANSLOCASES,P68806,False
40,2NYA,2.208,0.7359,Periplasmic nitrate reductase,OXIDOREDUCTASE,OXIDOREDUCTASES,P33937,False
41,1D4M,2.179,0.7264,Genome polyprotein,VIRUS,OTHER,P21404,False
42,1QU6,2.152,0.7175,"Interferon-induced, double-stranded RNA-activated protein kinase",TRANSFERASE,TRANSFERASES,P19525,False
43,2DWK,2.124,0.7079,Protein RUFY3,PROTEIN BINDING,OTHER,Q9D394,False
44,1K7A,2.814,0.7035,Protein C-ets-1,TRANSCRIPTION/DNA,OTHER,P27577,False
45,2CST,2.809,0.7024,"Aspartate aminotransferase, cytoplasmic",TRANSFERASE(AMINOTRANSFERASE),TRANSFERASES,P00504,False
46,3GI8,2.065,0.6882,Uncharacterized protein MJ0609,TRANSPORT PROTEIN,TRANSLOCASES,Q58026,False
47,1YAV,2.727,0.6818,Uncharacterized protein ykuL,"STRUCTURAL GENOMICS, UNKNOWN FUNCTION",OTHER,O31698,False
48,1T11,2.033,0.6776,Trigger factor,CHAPERONE,OTHER,Q9KQS5,False
49,1SNL,2.695,0.6737,Nucleobindin-1,METAL BINDING PROTEIN,OTHER,NUCB1_HUMAN,False
50,3BS8,2.683,0.6707,"Glutamate-1-semialdehyde 2,1-aminomutase",ISOMERASE,ISOMERASES,P30949,False
51,2GNX,2.664,0.666,UPF0536 protein C12orf66 homolog,"STRUCTURAL GENOMICS, UNKNOWN FUNCTION",OTHER,Q6P1I3,False
52,2I7K,2.662,0.6656,Bromodomain-containing protein 7,TRANSCRIPTION,OTHER,Q9NPI1,False
53,3B8C,2.616,0.6539,"ATPase 2, plasma membrane-type",ERROR try this entry again,OTHER,P19456,False
54,1B93,2.601,0.6503,Methylglyoxal synthase,LYASE,LYASES,P0A731,False
55,3FMO,2.595,0.6487,Nuclear pore complex protein Nup214,Oncoprotein/Hydrolase,HYDROLASES,P35658,False
56,1QZ2,2.57,0.6424,FK506-binding protein 4,ISOMERASE/CHAPERONE,ISOMERASES,FKBP4_HUMAN,False
57,2CR7,2.489,0.6223,Paired amphipathic helix protein Sin3b,GENE REGULATION,OTHER,Q62141,False
58,1KU5,2.489,0.6222,Archaeal histone A,DNA BINDING PROTEIN,OTHER,O74098,False
59,1OY0,2.487,0.6217,3-methyl-2-oxobutanoate hydroxymethyltransferase,TRANSFERASE,TRANSFERASES,P0A5Q8,False
60,2GFP,2.477,0.6193,Multidrug resistance protein D,MEMBRANE PROTEIN,TRANSLOCASES,P31442,False
61,2JWE,2.475,0.6188,Tight junction protein ZO-1,CELL ADHESION,OTHER,Q07157,False
62,2A2G,2.474,0.6185,Major urinary protein,LIPID BINDING PROTEIN,OTHER,P02761,False
63,1D06,2.473,0.6184,Sensor protein fixL,SIGNALING PROTEIN,OTHER,P10955,False
64,1IG3,2.472,0.618,Thiamin pyrophosphokinase 1,TRANSFERASE,TRANSFERASES,Q9H3S4,False
65,2DQN,2.472,0.618,Glutamyl-tRNA(Gln) amidotransferase subunit A,LIGASE,LIGASES,P63488,False
66,3CKI,2.47,0.6174,ADAM 17,"Hydrolase, hydrolase inhibitor",HYDROLASES,ADA17_HUMAN,False
67,1MKM,2.469,0.6173,"Transcriptional regulator, IclR family",TRANSCRIPTION,OTHER,Q9WXS0,False
68,3BXZ,2.469,0.6173,Protein translocase subunit secA,TRANSPORT PROTEIN,TRANSLOCASES,P10408,False
69,1J3N,2.469,0.6173,Transferase,TRANSFERASE,TRANSFERASES,Q7SIC5,False
70,3BHY,2.467,0.6168,Death-associated protein kinase 3,TRANSFERASE,TRANSFERASES,DAPK3_HUMAN,False
71,2NRO,2.467,0.6168,Molybdopterin biosynthesis protein moeA,BIOSYNTHETIC PROTEIN,LIGASES,P12281,False
72,2PP4,2.466,0.6166,Protein CBFA2T1,TRANSCRIPTION,OTHER,MTG8_HUMAN,False
73,1ZRT,2.465,0.6162,Ubiquinol-cytochrome c reductase iron-sulfur subunit,ELECTRON TRANSPORT,OXIDOREDUCTASES,P08500,False
74,1OSA,2.464,0.6161,Calmodulin,CALCIUM-BINDING PROTEIN,OTHER,P07463,False
75,2E02,2.464,0.6159,"Cysteine proteinase 1, mitochondrial",HYDROLASE,HYDROLASES,Q01532,False
76,1IEB,2.462,0.6156,"H-2 class II histocompatibility antigen, E-D alpha chain",HISTOCOMPATIBILITY ANTIGEN,OTHER,P01904,False
77,2EX5,2.46,0.615,DNA endonuclease I-CeuI,Hydrolase/DNA,HYDROLASES,P32761,False
78,2JHQ,2.46,0.6149,Uracil-DNA glycosylase,HYDROLASE,HYDROLASES,Q9KPK8,False
79,2I15,2.456,0.6139,Uncharacterized protein MG296 homolog,"STRUCTURAL GENOMICS, UNKNOWN FUNCTION",OTHER,P75364,False
80,3CT4,2.454,0.6135,"PTS-dependent dihydroxyacetone kinase, dihydroxyacetone-binding subunit dhaK",TRANSFERASE,TRANSFERASES,Q9CIV8,False
81,2WDV,2.453,0.6132,Succinate dehydrogenase flavoprotein subunit,OXIDOREDUCTASE,OXIDOREDUCTASES,P0AC41,False
82,2EW0,2.449,0.6124,UPF0301 protein ACIAD0353,"STRUCTURAL GENOMICS, UNKNOWN FUNCTION",OTHER,Q6FF54,False
83,2V0V,2.442,0.6105,Nuclear receptor subfamily 1 group D member 2,TRANSCRIPTION,OTHER,Q14995,False
84,2OWI,2.439,0.6098,Regulator of G-protein signaling 18,SIGNALING PROTEIN,OTHER,RGS18_HUMAN,False
85,2VEQ,2.429,0.6072,Centromere DNA-binding protein complex CBF3 subunit B,CELL CYCLE,OTHER,P40969,False
86,1N2S,2.403,0.6008,dTDP-4-dehydrorhamnose reductase,OXIDOREDUCTASE,OXIDOREDUCTASES,P26392,False
87,1CLZ,2.402,0.6006,Ig gamma-3 chain C region,IMMUNOGLOBULIN,OTHER,P03987,False
88,1SSE,2.402,0.6006,AP-1-like transcription factor YAP1,TRANSCRIPTION ACTIVATOR,OTHER,P19880,False
89,1RF8,2.399,0.5998,Eukaryotic translation initiation factor 4E,"BIOSYNTHETIC PROTEIN, TRANSLATION",TRANSLOCASES,P07260,False
90,1EVY,2.399,0.5998,"Glycerol-3-phosphate dehydrogenase [NAD+], glycosomal",OXIDOREDUCTASE,OXIDOREDUCTASES,P90551,True
91,1LJ0,2.389,0.5974,Cytochrome b5 type B,ELECTRON TRANSPORT,OXIDOREDUCTASES,P04166,False
92,1LJP,2.386,0.5966,Beta-elicitin cinnamomin,TOXIN,OTHER,P15569,False
93,3HKI,2.372,0.593,Prothrombin,HYDROLASE,HYDROLASES,P19221,False
94,2YXR,2.369,0.5922,Preprotein translocase subunit secY,PROTEIN TRANSPORT,TRANSLOCASES,Q60175,False
95,1FJ4,2.362,0.5904,3-oxoacyl-[acyl-carrier-protein] synthase 1,TRANSFERASE,TRANSFERASES,P0A953,False
96,1IRZ,2.355,0.5887,Two-component response regulator ARR10,DNA BINDING PROTEIN,OTHER,O49397,False
97,2AYN,2.937,0.5873,Ubiquitin carboxyl-terminal hydrolase 14,HYDROLASE,HYDROLASES,UBP14_HUMAN,False
98,1FFT,2.346,0.5865,Ubiquinol oxidase subunit 1,OXIDOREDUCTASE,OXIDOREDUCTASES,P0ABI8,False
99,1XAG,2.344,0.586,3-dehydroquinate synthase,LYASE,LYASES,Q6GGU4,False
100,2Q2E,2.333,0.5833,Type II DNA topoisomerase VI subunit A,ISOMERASE,ISOMERASES,Q8PUB7,False
101,1XIO,2.328,0.5819,Bacteriorhodopsin,SIGNALING PROTEIN,OTHER,Q8YSC4,False
102,2QTZ,2.326,0.5816,"Methionine synthase reductase, mitochondrial",OXIDOREDUCTASE,OXIDOREDUCTASES,Q9UBK8,False
103,3EMJ,2.326,0.5816,Inorganic pyrophosphatase,HYDROLASE,HYDROLASES,Q9ZCW5,False
104,2JUB,2.313,0.5781,Internal protein I,Endonuclease Inhibitor,OTHER,P03718,False
105,2YWW,2.874,0.5748,Aspartate carbamoyltransferase regulatory chain,METAL BINDING PROTEIN,OTHER,Q58801,False
106,1M1B,2.295,0.5739,Phosphoenolpyruvate phosphomutase,ISOMERASE,ISOMERASES,P56839,False
107,2INR,2.29,0.5725,DNA topoisomerase 4 subunit A,ISOMERASE,ISOMERASES,Q6G9K4,False
108,2OV6,2.285,0.5714,V-type ATP synthase subunit F,HYDROLASE,HYDROLASES,Q60185,False
109,1B0N,2.284,0.5711,HTH-type transcriptional regulator sinR,TRANSCRIPTION REGULATOR,OTHER,P06533,False
110,2OPX,2.282,0.5705,Lactaldehyde dehydrogenase,OXIDOREDUCTASE,OXIDOREDUCTASES,P25553,False
111,2OQC,2.272,0.568,Uncharacterized protein yxeI,HYDROLASE,HYDROLASES,P54948,False
112,1O9K,2.835,0.5669,Transcription factor E2F1,APOPTOSIS,OTHER,E2F1_HUMAN,False
113,1NVM,2.24,0.5601,4-hydroxy-2-oxovalerate aldolase,LYASE/OXIDOREDUCTASE,LYASES,P51016,False
114,1F5X,2.232,0.5579,Proto-oncogene vav,SIGNALING PROTEIN,OTHER,P27870,False
115,1T9K,2.786,0.5573,Methylthioribose-1-phosphate isomerase,ISOMERASE,ISOMERASES,Q9X013,False
116,1Y1U,2.775,0.555,Signal transducer and activator of transcription 5A,SIGNALING PROTEIN,OTHER,P42230,False
117,2CRA,2.773,0.5547,Homeobox protein Hox-B13,GENE REGULATION,OTHER,HXB13_HUMAN,False
118,1V9S,2.772,0.5544,Uracil phosphoribosyltransferase,TRANSFERASE,TRANSFERASES,Q72J35,False
119,1ES8,2.205,0.5513,Type II restriction enzyme BglII,HYDROLASE,HYDROLASES,Q45488,False
120,1UD9,2.19,0.5476,DNA polymerase sliding clamp A,DNA BINDING PROTEIN,OTHER,Q975N2,False
121,1TAF,2.183,0.5458,Transcription initiation factor TFIID subunit 9,COMPLEX (TWO TRANSCRIPTION FACTORS),OTHER,Q27272,False
122,1F81,2.166,0.5415,CREB-binding protein,TRANSCRIPTION,OTHER,P45481,False
123,2G18,2.705,0.541,Phycocyanobili,OXIDOREDUCTASE,OXIDOREDUCTASES,Q93TN0,False
124,2HHK,2.695,0.539,Reaction center protein H chain,PHOTOSYNTHESIS/MEMBRANE PROTEIN,OTHER,P0C0Y7,False
125,1GGT,2.694,0.5388,Coagulation factor XIII A chain,BLOOD COAGULATION,TRANSFERASES,F13A_HUMAN,False
126,1WVC,2.152,0.5381,Glucose-1-phosphate cytidylyltransferase,TRANSFERASE,TRANSFERASES,P26396,False
127,1OQP,2.146,0.5365,Caltractin,PROTEIN BINDING,OTHER,P05434,False
128,2VPK,2.669,0.5337,Myoneurin,TRANSCRIPTION,OTHER,Q9NPC7,False
129,1GMG,2.107,0.5268,Regulatory protein rop,TRANSCRIPTION REGULATION,OTHER,P03051,False
130,1OQN,2.085,0.5212,Disabled homolog 1,SIGNALING PROTEIN,OTHER,P97318,False
131,1VAC,2.605,0.5209,"H-2 class I histocompatibility antigen, K-B alpha chain",COMPLEX (MHC I/PEPTIDE),OTHER,P01901,False
132,1NM3,2.603,0.5206,Hybrid peroxiredoxin hyPrx5,ELECTRON TRANSPORT,OXIDOREDUCTASES,P44758,False
133,1D6V,2.583,0.5167,Ig gamma-1 chain C region,IMMUNE SYSTEM,OTHER,P01857,False
